date,region,price_type,price_per_sqm,n_regions
2020-09-01,portugal,sale,2049,1
2020-09-01,santarem,rental,4.9,1
2020-09-01,santarem,sale,775,1
2020-09-01,setubal,rental,8.3,1
2020-09-01,setubal,sale,1659,1
2020-09-01,viana-do-castelo,rental,5.1,1
2020-09-01,viana-do-castelo,sale,998,1
2020-09-01,vila-real,rental,4.4,1
2020-09-01,vila-real,sale,777,1
2020-09-01,viseu,rental,4.8,1
2020-09-01,viseu,sale,841,1
2020-10-01,aveiro,rental,7.1,1
2020-10-01,aveiro,sale,1218,1
2020-10-01,azores,rental,6.7,1
2020-10-01,azores,sale,928.25,4
2020-10-01,beja,sale,778,1
2020-10-01,braga,rental,6.2,1
2020-10-01,braga,sale,1031,1
2020-10-01,braganca,sale,766,1
2020-10-01,castelo-branco,rental,4.7,1
2020-10-01,castelo-branco,sale,683,1
2020-10-01,coimbra,rental,6.6,1
2020-10-01,coimbra,sale,1160,1
2020-10-01,evora,rental,7.4,1
2020-10-01,evora,sale,867,1
2020-10-01,faro,rental,9.3,1
2020-10-01,faro,sale,2328,1
2020-10-01,guarda,sale,1141,1
2020-10-01,leiria,rental,5.5,1
2020-10-01,leiria,sale,1141,1
2020-10-01,lisboa,rental,13.3,1
2020-10-01,lisboa,sale,3242,1
2020-10-01,madeira,rental,7.7,1
2020-10-01,madeira,sale,1457.5,2
2020-10-01,portalegre,sale,619,1
2020-10-01,porto,rental,9.7,1
2020-10-01,porto,sale,2067,1
2020-10-01,portugal,rental,11.2,1
2020-10-01,portugal,sale,2057,1
2020-10-01,santarem,rental,4.8,1
2020-10-01,santarem,sale,772,1
2020-10-01,setubal,rental,8.4,1
2020-10-01,setubal,sale,1669,1
2020-10-01,viana-do-castelo,rental,5.1,1
2020-10-01,viana-do-castelo,sale,1011,1
2020-10-01,vila-real,rental,4,1
2020-10-01,vila-real,sale,835,1
2020-10-01,viseu,rental,5.1,1
2020-10-01,viseu,sale,845,1
2020-11-01,aveiro,rental,6.7,1
2020-11-01,aveiro,sale,1228,1
2020-11-01,azores,rental,6.6,1
2020-11-01,azores,sale,924.25,4
2020-11-01,beja,sale,760,1
2020-11-01,braga,rental,6.2,1
