date,aveiro_rental,aveiro_sale,azores_sale,beja_sale,braga_sale,braganca_sale,castelo-branco_sale,coimbra_sale,evora_sale,faro_rental,faro_sale,guarda_sale,leiria_rental,leiria_sale,lisboa_rental,lisboa_sale,madeira_sale,portalegre_sale,porto_rental,porto_sale,portugal_rental,portugal_sale,santarem_rental,santarem_sale,setubal_rental,setubal_sale,viana-do-castelo_sale,vila-real_sale,viseu_sale,braga_rental,castelo-branco_rental,coimbra_rental,madeira_rental,viana-do-castelo_rental,vila-real_rental,viseu_rental,beja_rental,guarda_rental,evora_rental,portalegre_rental,azores_rental
2017-10-01,4.6,854,855.25,776,784,656,676,995,890,6.9,1768,917,4.2,917,12.1,2451,1328.5,725,8,1228,8.5,1473,3.7,742,6.1,1132,903,750,745,4.3,3.6,5.1,6.8,3.7,3.6,3.4,NA,NA,5.2,3.4,NA
2017-11-01,4.6,863,855.5,769,791,663,670,1007,893,7.2,1780,915,4.3,915,12,2520,1326.5,719,7.5,1260,8.4,1497,3.6,742,6.1,1143,916,754,741,4.2,3.7,5.1,7.1,3.8,3.9,3.4,NA,NA,5.3,3.6,NA
2017-12-01,4.4,880,857.5,779,800,686,667,1009,889,7.4,1777,919,4.3,919,12.2,2568,1338,722,7.5,1299,8.7,1515,3.7,734,6.2,1153,924,768,747,4.5,3.6,5.2,6.9,3.8,3.5,3.5,NA,NA,5.3,4,NA
2018-01-01,4.5,877,832.5,782,808,684,673,998,900,7.6,1800,938,4.4,938,12.5,2603,1319.5,834,7.6,1310,9,1528,3.8,739,6.4,1158,922,770,745,4.6,3.7,5.3,7.2,4,3.6,3.7,NA,NA,5.6,NA,NA
2018-02-01,4.5,874,845.25,788,816,676,675,1005,894,7.9,1818,942,4.3,942,12.6,2623,1324.5,838,7.9,1333,9.2,1540,3.9,740,6.4,1177,932,745,729,4.8,3.8,5.2,7.6,3.9,3.6,3.6,NA,NA,5.3,NA,NA
2018-03-01,4.4,868,840.25,785,825,663,672,1016,872,8.1,1821,951,4.3,951,12.9,2646,1320.5,723,8,1339,9.5,1554,3.9,749,6.4,1176,952,759,727,4.9,3.7,5.2,7.3,4,NA,3.5,NA,NA,5.2,NA,NA
2018-04-01,4.6,868,869.25,798,834,668,667,1006,864,8,1863,958,4.6,958,13.2,2678,1345,733,8.1,1367,9.7,1565,3.9,750,6.6,1190,960,781,729,4.9,3.7,5.3,7.5,4.1,4.1,3.6,NA,NA,5.2,NA,NA
2018-05-01,4.9,876,859.5,802,841,690,655,979,869,8.2,1893,967,5.1,967,13.2,2708,1296.5,733,8.2,1407,9.9,1586,3.9,759,6.6,1210,964,803,718,5.1,3.7,5.4,7.4,4.2,4.2,3.9,NA,NA,5.7,NA,NA
2018-06-01,4.9,897,839,811,858,668,657,982,858,8.5,1926,980,4.9,980,13.2,2805,1304,747,8.2,1454,10.1,1637,4,755,6.8,1235,955,797,732,5.1,3.6,5.5,7.8,4.3,4.4,3.9,NA,NA,NA,NA,NA
2018-07-01,5.3,1063,1082.5,989,957,726,721,1131,1063,8.7,1920,1051,4.9,1051,13.4,3092,1591,727,8.6,1711,10.6,1955,3.9,768,7,1189,1019,902,881,5.4,4,5.7,7.7,4.4,NA,4,NA,NA,NA,NA,NA
2018-08-01,4.9,932,831.25,813,880,670,653,967,864,8.5,1984,996,4.8,996,13.3,2810,1282.5,776,8.9,1528,10.3,1669,4.2,763,7.3,1269,958,789,743,5.4,3.9,5.6,7.6,4.4,4.1,3.6,NA,NA,NA,NA,NA
2018-09-01,4.8,946,835.25,815,892,681,668,964,864,8.2,1996,1010,4.8,1010,13.4,2836,1280.5,782,8.8,1532,10.4,1698,4.1,764,7.2,1283,979,784,754,5.4,4,5.6,7.6,4.5,NA,3.7,NA,NA,NA,NA,NA
2018-10-01,5,968,867,807,900,695,652,971,866,8.2,2023,1018,4.6,1018,13.6,2876,1292,789,8.8,1571,10.5,1738,4.1,766,7.3,1298,986,781,751,5.3,3.8,5.7,8,4.4,NA,3.5,NA,NA,5.5,NA,NA
2018-11-01,5.3,990,906.5,799,904,696,662,980,849,8.3,2032,1041,4.8,1041,13.8,2894,1300,775,8.9,1598,10.7,1760,4.1,766,7.5,1315,989,764,750,5.2,3.7,5.7,8.3,4.5,NA,3.5,NA,NA,5.8,NA,NA
2018-12-01,5,994,902.5,793,911,688,668,996,847,8.3,2032,1054,4.8,1054,14.1,2919,1295,788,8.9,1632,11,1786,4.1,770,7.8,1320,999,749,735,5.3,3.7,5.6,7.9,4.9,NA,3.8,NA,NA,NA,NA,NA
2019-01-01,5.3,1004,881,790,914,710,671,1013,850,8.5,2043,1071,5,1071,14.1,2953,1311.5,784,9.4,1677,11.2,1803,4.4,777,7.8,1344,987,751,749,5.5,3.7,5.6,7.8,4.8,NA,3.5,NA,NA,NA,NA,NA
2019-02-01,5.2,1008,857.5,787,915,700,681,996,844,8.6,2040,1049,5.1,1049,14.2,2948,1320,781,9.4,1694,11.3,1804,4.2,782,7.9,1345,975,742,742,5.3,3.8,5.8,8.1,4.5,NA,3.5,NA,NA,NA,NA,NA
2019-03-01,5.4,1013,855,801,931,695,684,1006,844,9.3,2050,1055,5.4,1055,14.2,2991,1331,773,9.3,1727,11.3,1837,4.2,786,7.9,1372,969,751,748,5.5,3.8,5.7,8.1,4.6,NA,3.6,NA,NA,NA,NA,NA
2019-04-01,5.6,1033,832.5,791,948,714,684,1009,858,9.1,2064,1068,5.5,1068,14.1,3009,1341,757,9.4,1783,11.3,1856,4.4,786,7.8,1384,973,761,751,5.6,3.9,5.9,8,4.9,4.7,3.6,NA,NA,5.4,NA,NA
2019-05-01,5.6,1049,855.25,789,964,732,683,1024,869,8.8,2103,1074,4.9,1074,14.1,3055,1339.5,763,9.5,1809,11.4,1880,4.4,788,7.7,1402,979,748,751,5.8,4,5.8,8,5.6,4.7,3.7,NA,NA,NA,NA,NA
2019-06-01,5.6,1051,819,779,958,729,673,1026,867,9.2,2134,1079,5.2,1079,14,3105,1370,750,9.5,1805,11.4,1900,4.4,782,7.7,1431,968,751,761,5.7,4.3,6,8.1,5.6,4.8,3.8,NA,NA,5.5,NA,7
2019-07-01,5.8,1061,831,773,963,729,679,1031,856,9.3,2142,1085,5.6,1085,13.7,3123,1385.5,768,9.4,1863,11.3,1927,4.4,787,7.9,1455,985,751,754,6.1,4.9,5.9,8.1,5.3,5,3.7,NA,NA,6,NA,6.3
2019-08-01,6.2,1058,847.5,781,964,738,683,1043,852,9.4,2158,1098,6,1098,13.8,3145,1403.5,776,9.5,1856,11.3,1932,4.3,789,7.9,1467,991,760,754,6.1,5.1,5.8,7.9,5.1,4,3.5,NA,NA,6.8,NA,NA
2019-09-01,6.3,1066,843,795,965,731,682,1057,850,9.7,2159,1100,5.5,1100,13.9,3146,1424,779,9.5,1863,11.3,1938,4.4,791,8.2,1486,995,756,743,6.1,5.2,5.8,7.9,5.2,4.1,3.8,NA,NA,6.9,NA,NA
2019-10-01,6.4,1064,847,796,963,737,699,1059,833,9.2,2167,1113,5.6,1113,13.9,3175,1392,756,9.5,1883,11.2,1957,4.4,792,8.2,1499,1000,743,724,6.3,5.3,5.8,7.9,5.3,4.4,3.9,NA,NA,6.9,4.5,6.9
2019-11-01,6.3,1066,853,796,963,731,690,1059,838,9,2177,1107,5.3,1107,13.9,3206,1388,623,9.8,1898,11.3,1977,4.6,771,8.3,1513,996,740,730,6.3,5.5,5.9,7.9,5.4,4.3,4.3,NA,NA,NA,4.4,6.8
2019-12-01,6.3,1089,835.75,802,971,747,678,1068,873,9.1,2189,1114,5.6,1114,13.9,3222,1423,635,9.9,1922,11.3,1990,4.5,759,8.2,1532,976,733,758,6.2,5.1,6,7.8,5.3,NA,5.3,NA,NA,NA,NA,6.8
2020-01-01,6.5,1105,860,801,983,727,685,1076,872,9.2,2210,1109,5.6,1109,13.8,3249,1435,644,10,1935,11.3,1992,4.7,757,8.3,1551,978,723,784,6.4,4.7,6.4,7.7,5.2,NA,4.4,NA,NA,NA,NA,NA
2020-02-01,6.4,1111,875.75,795,990,745,693,1091,910,9.2,2223,1113,5.9,1113,13.8,3281,1430,646,10.1,1965,11.4,2010,4.8,760,8.4,1578,977,741,780,6.5,4.5,6.5,7.9,5.3,NA,4.1,NA,NA,NA,NA,6.9
2020-03-01,6.6,1114,905.25,790,998,745,688,1102,913,9.4,2233,1112,6,1112,14,3272,1430,731,10.1,1992,11.6,2020,4.8,770,8.4,1600,996,754,794,6.4,4.6,6.6,8,5.6,NA,4.2,NA,NA,8.2,NA,6.3
2020-04-01,6.5,1126,906.75,770,1011,747,696,1103,900,9.7,2264,1110,6.1,1110,14.2,3289,1445.5,637,10.2,2023,11.8,2031,4.9,764,8.5,1619,1004,749,812,6.4,4.8,6.8,8.3,5.8,NA,4.4,NA,NA,NA,NA,6.3
2020-05-01,6.7,1138,920.75,763,1018,747,683,1113,877,9.6,2288,1113,5.9,1113,14,3297,1450.5,651,10,2068,11.7,2036,5.1,768,8.5,1630,995,742,809,6.5,4.7,6.7,7.9,5.7,NA,4.5,NA,NA,NA,NA,6.1
